meetingNo,term,sessionPeriod,meetingTimes,host,meetingLeader,content,seqno,fileName,url,
2023101308,10,08,20231018,交通委員會,陳召集委員雪生,立法院第10屆第8會期交通委員會召開「道路交通安全基本法草案」公聽會,0006,10-8-1121018公聽會報告,https://ppg.ly.gov.tw/ppg/SittingAttachment/download/2023101308/PPGB60500_2400_20838_1121027_0006.pdf,
2023101831,10,08,20231019,內政委員會,游召集委員毓蘭,立法院第10屆第8會期內政委員會,0009,10-8內政委員會-公聽會報告,https://ppg.ly.gov.tw/ppg/SittingAttachment/download/2023101831/PPGB60500_4000_20864_1130102_0009.pdf,
2023111515,10,08,20231120,教育及文化委員會,范召集委員雲,「少子女化浪潮下，如何協助私立大專校院維護辦學品質、保障師生權益？」公聽會,0002,公聽會報告1121120(少子女化協助私立大專校院維護辦學品質),https://ppg.ly.gov.tw/ppg/SittingAttachment/download/2023111515/PPGB60500_2300_20647_1130115_0002.docx,
2023111621,10,08,20231122,社會福利及衛生環境委員會,吳召集委員欣盈,舉行「數位醫療發展條例草案」公聽會,0007,數位醫療發展條例草案 內文+目錄1-95,https://ppg.ly.gov.tw/ppg/SittingAttachment/download/2023111621/PPGB60500_4500_20688_1121204_0007.pdf,
2023111746,10,08,20231123,教育及文化委員會,范委員雲,「校園如何確實淘汰不適任教師，促進親師生信任關係，維護學生受教權？」公聽會,0003,公聽會報告1121123(淘汰不適任教師),https://ppg.ly.gov.tw/ppg/SittingAttachment/download/2023111746/PPGB60500_2300_20647_1130115_0003.docx,
2023112415,10,08,20231204,內政委員會,羅召集委員美玲,立法院第10屆第8會期內政委員會「為落實新住民權益保障，探討通譯人才培訓與認證制度」公聽會,0008,「為落實新住民權益保障，探討通譯人才培訓與認證制度」公聽會報告,https://ppg.ly.gov.tw/ppg/SittingAttachment/download/2023112415/PPGB60500_4000_20972_1121229_0008.pdf,
2023120173,10,08,20231207,教育及文化委員會,范召集委員雲,「如何讓每個人在臺灣有尊嚴的生活：反霸凌、反歧視，人權、性平、    貧窮教育」公聽會,0004,公聽會報告1121207如何讓每個人在臺灣有尊嚴的生活,https://ppg.ly.gov.tw/ppg/SittingAttachment/download/2023120173/PPGB60500_2300_20647_1130115_0004.docx,
2024030618,11,01,20240314,司法及法制委員會,鍾召集委員佳濱,立法院第11屆第1會期司法及法制委員會公聽會,0011,「詐欺犯罪防制立法及各部會打詐機制盤點」公聽會報告_compressed,https://ppg.ly.gov.tw/ppg/SittingAttachment/download/2024030618/PPGB60500_4300_20929_1130325_0011.pdf,
2024032124,11,01,20240325,司法及法制委員會,鍾召集委員佳濱,立法院第11屆第1會期司法及法制委員會公聽會,0004,「個人資料保護委員會組織籌設及相關配套措施」公聽會報告,https://ppg.ly.gov.tw/ppg/SittingAttachment/download/2024032124/PPGB60500_4300_20929_1130403_0004.pdf,
2024032802,11,01,20240403,社會福利及衛生環境委員會,王召集委員育敏,舉行「人工生殖法條文修正草案」公聽會,0007,1130403人工生殖法條文修正草案公聽會報告,https://ppg.ly.gov.tw/ppg/SittingAttachment/download/2024032802/PPGB60500_4500_20688_1130417_0007.pdf,
2024032803,11,01,20240403,交通委員會,李召集委員昆澤,立法院第11屆第1會期交通委員會召開「道路交通管理處罰條例」修法公聽會,0002,「道路交通管理處罰條例」修法公聽會組合檔,https://ppg.ly.gov.tw/ppg/SittingAttachment/download/2024032803/PPGB60500_2400_20838_1130412_0002.pdf,
2024032914,11,01,20240403,司法及法制委員會,吳召集委員宗憲,立法院第11屆第1會期司法及法制委員會公聽會 ,0004,「啟動國會改革─立法院職權行使法相關法案」公聽會報告,https://ppg.ly.gov.tw/ppg/SittingAttachment/download/2024032914/PPGB60500_4300_20929_1130412_0004.pdf,
2024040373,11,01,20240410,司法及法制委員會,鍾召集委員佳濱,立法院第11屆第1會期司法及法制委員會公聽會,0004,「如何落實國會調查／聽證權以有效監督行政機關，並避免侵犯人民自由／隱私權」公聽會報告,https://ppg.ly.gov.tw/ppg/SittingAttachment/download/2024040373/PPGB60500_4300_20929_1130419_0004.pdf,
2024040375,11,01,20240411,司法及法制委員會,鍾召集委員佳濱,立法院第11屆第1會期司法及法制委員會公聽會,0004,「如何落實國會調查／聽證權以有效監督行政機關，並防範機密外洩危害國安」公聽會報告,https://ppg.ly.gov.tw/ppg/SittingAttachment/download/2024040375/PPGB60500_4300_20929_1130419_0004.pdf,
2024042658,11,01,20240502,司法及法制委員會,吳召集委員宗憲,立法院第11屆第1會期司法及法制委員會公聽會,0005,「失控的正義1─又要我們『共體時艱』！如何簡化偵查、審判訴訟程序與書類製作及人力增補」公聽會報告,https://ppg.ly.gov.tw/ppg/SittingAttachment/download/2024042658/PPGB60500_4300_20929_1130510_0005.pdf,
2024050187,11,01,20240506,社會福利及衛生環境委員會,黃召集委員秀芳,舉行「全民健康保險醫療給付費用總額之現況與展望」公聽會,0005,公聽會報告 1130506全民健康保險醫療給付費用總額之現況與展望公聽會,https://ppg.ly.gov.tw/ppg/SittingAttachment/download/2024050187/PPGB60500_4500_20688_1130515_0005.pdf,
2024050190,11,01,20240506,外交及國防委員會,王召集委員定宇,立法院第11屆第1會期外交及國防、司法及法制委員會「陸海空軍懲罰法修正草案及軍人權益事件處理法草案」公聽會,0007,(李東穎)懲罰法公聽會,https://ppg.ly.gov.tw/ppg/SittingAttachment/download/2024050190/PPGB60500_4100_20642_1130506_0007.pptx,
2024050190,11,01,20240506,外交及國防委員會,王召集委員定宇,立法院第11屆第1會期外交及國防、司法及法制委員會「陸海空軍懲罰法修正草案及軍人權益事件處理法草案」公聽會,0008,(劉育偉)1130505二法公聽會簡報,https://ppg.ly.gov.tw/ppg/SittingAttachment/download/2024050190/PPGB60500_4100_20642_1130506_0008.pptx,
2024050190,11,01,20240506,外交及國防委員會,王召集委員定宇,立法院第11屆第1會期外交及國防、司法及法制委員會「陸海空軍懲罰法修正草案及軍人權益事件處理法草案」公聽會,0009,(吳宗謀)公聽會書面補充意見,https://ppg.ly.gov.tw/ppg/SittingAttachment/download/2024050190/PPGB60500_4100_20642_1130506_0009.docx,
2024050190,11,01,20240506,外交及國防委員會,王召集委員定宇,立法院第11屆第1會期外交及國防、司法及法制委員會「陸海空軍懲罰法修正草案及軍人權益事件處理法草案」公聽會,0010,(最新修正版-韓毓傑)立法院審議陸海空軍懲罰法修正草案與軍人權益事件處理法草案公聽會,https://ppg.ly.gov.tw/ppg/SittingAttachment/download/2024050190/PPGB60500_4100_20642_1130506_0010.docx,
2024050190,11,01,20240506,外交及國防委員會,王召集委員定宇,立法院第11屆第1會期外交及國防、司法及法制委員會「陸海空軍懲罰法修正草案及軍人權益事件處理法草案」公聽會,0011,立法院第11屆第1會期立法院外交及國防、司法及法制委員會「陸海空軍懲罰法修正草案及軍人權益事件處理法草案」公聽會報告,https://ppg.ly.gov.tw/ppg/SittingAttachment/download/2024050190/PPGB60500_4100_20642_1130514_0011.pdf,
